Spot_ID,Row(Y),Col(X),00001_645_C001,00002_590_C001,00003_525_C001,00004_445_C001,00005_645_C002,00006_590_C002,00007_525_C002,00008_445_C002,00009_645_C003,00010_590_C003,00011_525_C003,00012_445_C003,00013_645_C004,00014_590_C004,00015_525_C004,00016_445_C004,00017_645_C005,00018_590_C005,00019_525_C005,00020_445_C005,00021_645_C006,00022_590_C006,00023_525_C006,00024_445_C006,00025_645_C007,00026_590_C007,00027_525_C007,00028_445_C007,00029_645_C008,00030_590_C008,00031_525_C008,00032_445_C008,00033_645_C009,00034_590_C009,00035_525_C009,00036_445_C009,00037_645_C010,00038_590_C010,00039_525_C010,00040_445_C010,00041_645_C011,00042_590_C011,00043_525_C011,00044_445_C011,00045_645_C012,00046_590_C012,00047_525_C012,00048_445_C012,00049_645_C013,00050_590_C013,00051_525_C013,00052_445_C013,00053_645_C014,00054_590_C014,00055_525_C014,00056_445_C014,00057_645_C015,00058_590_C015,00059_525_C015,00060_445_C015,00061_645_C016,00062_590_C016,00063_525_C016,00064_445_C016
0,468,1965,8623,5089,6200,4854,6501,5204,5237,5505,6450,5410,4837,5081,6210,5393,4837,4987,6240,5432,4782,4906,6083,5402,5116,5075,5902,5369,5079,5054,5782,5383,5026,4958,6008,5471,5042,4907,6022,5395,4706,4950,5675,5509,4915,5066,5990,5453,4993,4858,5969,5379,5003,4905,6025,5431,5017,4853,5984,5369,5043,4843,5862,5502,5063,4852
1,743,327,8459,3440,5212,3488,4386,3342,5167,4594,4400,3909,3891,4044,3986,3650,3707,4828,4040,3558,3655,4574,3769,3491,4032,4272,3614,3490,4061,4227,3693,3503,3920,4097,3786,3521,3883,4080,3891,3417,3704,4039,3800,3389,3697,3931,3871,3444,3596,3928,3901,3423,3698,3837,3910,3444,3761,3826,3986,3442,3730,3852,3821,3445,3691,3924
2,1260,1577,8102,3364,3347,3500,4281,3382,3792,4701,3948,3410,4441,3862,4483,3627,3817,3531,5152,3491,3722,3430,4653,3429,3928,3584,4913,3408,3721,3427,4430,3309,3752,3711,4411,3353,3793,3786,4380,3342,3625,3663,4234,3433,3569,3640,4421,3424,3582,3643,4257,3415,3575,3636,4160,3373,3623,3648,4104,3361,3621,3628,3994,3374,3648,3630
3,63,1391,8097,3179,3704,3530,5338,3302,4004,3413,4779,3311,3768,3321,4756,3236,3719,3466,4664,3286,3643,3396,4737,3221,3649,3431,4722,3265,3632,3369,4589,3303,3591,3438,4802,3259,3563,3371,4849,3298,3588,3439,4701,3307,3575,3384,4659,3258,3473,3337,4674,3202,3570,3341,4673,3257,3431,3321,4705,3314,3571,3347,4793,3246,3454,3340
4,309,996,7939,3587,3306,3484,4207,3540,5184,3472,3847,4009,3803,3666,3721,3608,3798,4250,3640,3558,3651,4149,3686,3524,3779,3837,3674,3460,3992,3796,3511,3449,3771,3794,3723,3488,3645,3776,4075,3464,3555,3744,3777,3463,3641,3727,3836,3524,3597,3655,3869,3455,3628,3589,3893,3469,3640,3628,3855,3503,3587,3615,3862,3433,3629,3531
5,33,1249,7820,3098,3254,3218,3757,3121,3397,3770,3419,3243,3274,3335,3814,3240,3165,3447,4400,3207,3239,3413,4028,3265,3372,3411,3779,3188,3366,3422,3531,3212,3392,3293,3525,3234,3365,3371,3728,3181,3403,3335,3753,3221,3373,3320,3713,3277,3345,3376,3778,3201,3316,3293,3872,3158,3325,3235,3856,3243,3402,3280,3859,3293,3363,3285
6,515,15,7773,3714,3512,3471,4220,4214,4204,3406,3752,4308,3762,3524,3764,4434,3667,3876,3678,4338,3765,3868,3770,4310,3698,3707,3660,4386,3671,3633,3716,4339,3747,3683,3894,4364,3579,3581,4085,4288,3578,3571,3893,4546,3533,3531,3967,4521,3593,3526,3984,4754,3723,3491,4049,4661,3602,3516,3940,4536,3702,3514,3958,4629,3661,3475
7,506,12,7738,5419,3868,3853,5591,5991,4361,3872,5259,5795,4063,3962,5362,6191,4026,4262,5227,5810,3996,4290,5321,5656,4142,4186,5401,5459,4093,4120,5113,4848,3979,4237,5377,5416,3930,4134,5687,4914,3885,4195,5327,5226,3915,4113,5426,5234,3862,4035,5689,5680,4057,4081,5756,5376,3930,4219,5595,5169,3969,4135,5613,5359,4001,4032
8,388,569,7678,4014,3991,3507,5164,3702,4566,3941,4931,3895,3871,3882,4350,3769,4005,4269,4411,3754,3965,4106,4188,3751,3969,3967,4046,3714,3988,4054,3967,3709,3944,3890,4167,3685,3842,3819,4123,3647,3780,3920,4051,3591,3757,3773,4114,3583,3731,3683,4183,3565,3744,3776,4244,3561,3773,3733,4119,3580,3776,3708,4082,3644,3859,3774
9,485,1810,7644,5236,3388,3336,4396,4125,4450,3382,3731,4057,3745,3744,3444,3824,3818,4095,3433,3905,3819,3974,3466,3839,3811,3792,3552,3726,3897,3767,3600,3685,3842,3834,3750,3696,3800,3673,3717,3638,3718,3713,3743,3593,3730,3738,3683,3633,3781,3718,3702,3598,3714,3640,3769,3548,3691,3670,3773,3615,3790,3636,3747,3548,3753,3639
10,465,1315,7602,3888,3645,3452,4671,3612,5228,3717,3887,4079,4054,3911,3752,3792,4057,4474,3704,3581,3958,4283,3581,3606,3959,3969,3628,3557,4113,4021,3604,3531,4059,4047,3826,3513,3862,3959,3813,3504,3820,3876,3855,3515,3755,3912,3827,3557,3737,3851,3868,3525,3734,3786,3787,3433,3792,3759,3749,3516,3753,3760,3909,3474,3677,3735
11,1430,1340,7549,3415,3293,3399,4343,3382,5384,3498,3664,4132,3888,3639,3453,3593,3719,4543,3405,3563,3614,4445,3431,3428,3765,4055,3402,3436,3947,4000,3419,3363,3780,3913,3530,3459,3672,3895,3726,3413,3597,3861,3691,3437,3628,3867,3618,3420,3541,3734,3610,3405,3634,3711,3699,3429,3738,3705,3684,3395,3593,3649,3794,3394,3718,3713
12,900,1069,7539,3497,3916,3407,4357,3455,5315,3888,4303,4217,3787,3813,3931,3765,3760,4704,3944,3562,3771,4501,3722,3542,3901,4183,3645,3538,4106,4113,3664,3584,3934,4216,3815,3544,3857,3987,3883,3495,3627,3987,3780,3537,3702,3882,3848,3496,3699,3867,3939,3518,3674,3789,3885,3478,3772,3775,3834,3487,3643,3832,3836,3537,3589,3834
13,1026,524,7447,5487,5422,5071,6816,5368,5784,4931,6631,5248,6136,4803,6764,5125,5912,5009,6403,5114,5981,5066,6139,5182,5829,4987,4962,5057,5391,4808,4559,4871,5156,4613,4640,4986,4849,4631,4576,4801,4332,4686,4495,5094,4807,4970,4472,4910,4422,4924,4369,4670,4357,4767,4352,4716,4069,4689,4321,4772,4462,4688,4337,4484,4485,4586
14,284,1797,7438,3076,3162,3327,4108,3135,3939,3455,3606,3285,3366,3409,3441,3281,3352,3643,3389,3218,3280,3593,3395,3211,3348,3448,3388,3219,3393,3506,3442,3231,3322,3474,3580,3222,3377,3402,3752,3209,3347,3403,3618,3225,3269,3456,3741,3253,3272,3458,3677,3231,3344,3533,3630,3236,3284,3468,3698,3226,3356,3455,3611,3221,3330,3481
